FID,OBJECTID,Site_ID,Category,Address,Geocode_Ad,On_Street,Cross_Stre,Borough,Installati,Postcode,Bar_ID,Descriptio,Latitude,Longitude,Community Board,Council District,Census Tract,BIN,BBL,NTA,Location1,Zip Codes,Community Districts,Borough Boundaries,City Council Districts,Police Precincts
2,3,20,SBS,Pelham Parkaway at Whiteplains Road,720 Pelham Parkway South,Pelham Parkway South,Whiteplains Road & Cruger Avenue,Bronx,03/11/2017,10462,20160042,Eastbound SBS stop,40.856627,-73.866836,,,,,,,POINT (-73.8668362204979 40.856627392949505),11271,59,5,12,32
32,33,2,SBS,360 W 34th Street,360 W 34th Street,W 34th Street,9th Avenue & 8th Avenue,Manhattan,11/30/2016,10001,20160024,,40.752877,-73.995113,104,3,103,1013554,1007570066,Hudson Yards-Chelsea-Flatiron-Union Square,POINT (-73.995113 40.752877),11722,12,4,10,8
34,35,6,SBS,349 5th Avenue,4 E. 34th Street,E. 34th Street,E. 34th Street & E. 33rd Street,Manhattan,11/30/2016,10016,20160026,,40.748183,-73.984517,105,4,74,1017096,1008630081,Midtown-Midtown South,POINT (-73.984517 40.748183),12078,11,4,51,8
45,46,17,SBS,401 E 34th Street,606 1st Avenue,1st Avenue,E 34th Street & E 35th Street,Manhattan,11/30/2016,10016,20160017,,40.743712,-73.973309,106,4,8601,1022057,1009660001,Turtle Bay-East Midtown,POINT (-73.973309 40.743712),12078,71,4,51,9
17,18,42,Bus Route,8781 24th Avenue,8781 24th Avenue,Cropsey Avenue,24th Avenue & Bay 37th Street,Brooklyn,09/25/2018,11214,20180015,,40.595423,-73.993371,311,47,304,3186626,3068910001,Bensonhurst East,POINT (-73.993371 40.595423),17616,1,2,45,37
22,23,50,SBS,63-76 Woodhaven Blvd,63-76 Woodhaven Blvd,Woodhaven Blvd,Penelope Avenue & Fleet Court,Queens,01/29/2019,11374,20180024,IFO REGO MARKET PLACE,40.722601,-73.867616,405,30,679,4070116,4030140014,Middle Village,POINT (-73.867616 40.722601),14785,54,3,34,62
44,45,16,SBS,492 1st Avenue,492 1st Avenue,1st Avenue,E. 28th Street & E. 29th Street,Manhattan,11/30/2016,10016,20160016,,40.740446,-73.975930,106,4,62,1087295,1009620100,Murray Hill-Kips Bay,POINT (-73.97593 40.740446),12078,71,4,51,7
27,28,56,SBS,137-20 CROSS BAY BLVD,137-20 CROSS BAY BLVD,CROSS BAY BLVD,Pitkin Avenue & Wicklen Road,Queens,01/24/2019,11417,20180010,,40.671369,-73.843006,410,32,58,4458765,4114090010,Ozone Park,POINT (-73.843006 40.671369),24013,62,3,41,64
12,13,38,Bus Route,2955 Kings Highway,2955 Kings Highway,Kings Highway,Nostrand Avenue & East 31st Street,Brooklyn,09/25/2018,11229,20180004,,40.615735,-73.945258,314,45,746,,,Flatlands,POINT (-73.945258 40.61573500000001),13512,60,2,26,43
54,55,68,sbs,411 Beach 54th Street,411 Beach 54th Street,Beach Channel Drive,Beach 54th Street & Beach 55th Street,Queens,02/05/2019,11692,20180013,,40.595509,-73.784596,414,31,97203,4440393,4160020001,Hammels-Arverne-Edgemere,POINT (-73.784596 40.595509),20530,51,3,47,59
49,50,63,SBS,102-04 Rockaway Beach Blvd,102-04 Rockaway Beach Blvd,Rockaway Beach Blvd,Beach 102nd Street & Beach 105th Stree,Queens,01/31/2019,11694,20180029,,40.583806,-73.823350,414,32,938,4533779,4161767501,Breezy Point-Belle Harbor-Rockaway Park-Broad Channel,POINT (-73.82335 40.583806),20532,51,3,41,58
7,8,33,SBS,900 Sheridan Avenue,900 Sheridan Ave,E 161st Street,Sherman Avenue & Sheridan Avenue,Bronx,08/30/2017,10451,20160002,,40.826873,-73.920872,204,16,18302,2002704,2024540001,East Concourse-Concourse Village,POINT (-73.920872 40.826873),10929,50,5,42,27
39,40,10,SBS,1314 Nostrand Avenue,1314 Nostrand Avenue,Nostrand Avenue,Clarkson Avenue & Lenox Road,Brooklyn,11/19/2016,11226,20160008,,40.654851,-73.950016,317,40,820,3116270,3050660054,Prospect Lefferts Gardens-Wingate,POINT (-73.950016 40.654851),13510,61,2,11,40
